protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
LDLR,fid_23409,10338,0.6314682723683676,0,0,0.635601795868213,0,0,+,0.6314682723683676,Triglycerides in LDL
LDLR,fid_23447,10329,0.6280707953908699,0,0,0.6436522626228338,0,0,+,0.6280707953908699,Monounsaturated Fatty Acids
LDLR,fid_23622,10338,-0.6280678520117713,0,0,-0.6328316243817286,0,0,-,0.6280678520117713,Free Cholesterol to Total Lipids in Medium LDL percentage
LDLR,fid_23481,10338,0.6279148738599021,0,0,0.6468533012485528,0,0,+,0.6279148738599021,Concentration of Chylomicrons and Extremely Large VLDL Particles
LDLR,fid_23501,10338,0.6230644338209397,0,0,0.6483021857454376,0,0,+,0.6230644338209397,Triglycerides in Large VLDL
LDLR,fid_23428,10338,0.6229916864288783,0,0,0.6278498014071022,0,0,+,0.6229916864288783,Concentration of VLDL Particles
LDLR,fid_23641,10338,-0.6183163450563686,0,0,-0.6190708204821967,0,0,-,0.6183163450563686,Cholesteryl Esters to Total Lipids in Medium HDL percentage
LDLR,fid_23640,10338,-0.6156635579600669,0,0,-0.6169000288132445,0,0,-,0.6156635579600669,Cholesterol to Total Lipids in Medium HDL percentage
PLA2G7,fid_23439,10349,0.6156322531175459,0,0,0.6353356170316323,0,0,+,0.6156322531175459,Apolipoprotein B
LDLR,fid_23529,10338,0.6123612246734459,0,0,0.61230385628833806,0,0,+,0.6123612246734459,Triglycerides in IDL
PLA2G7,fid_23546,10349,0.6120156514421604,0,0,0.6297763741284207,0,0,+,0.6120156514421604,Phospholipids in Small LDL
PLA2G7,fid_23544,10349,0.6107395211031316,0,0,0.6283704580078286,0,0,+,0.6107395211031316,Concentration of Small LDL Particles
PLA2G7,fid_23429,10349,0.6100811395189298,0,0,0.6288850666477027,0,0,+,0.6100811395189298,Concentration of LDL Particles
LDLR,fid_23482,10338,0.6097855789550412,0,0,0.627663923726074,0,0,+,0.6097855789550412,Total Lipids in Chylomicrons and Extremely Large VLDL
PLA2G7,fid_23545,10349,0.6089065047646754,0,0,0.6260335546636309,0,0,+,0.6089065047646754,Total Lipids in Small LDL
LDLR,fid_23536,10338,0.6054511188816368,0,0,0.6054882558065083,0,0,+,0.6054511188816368,Triglycerides in Large LDL
LDLR,fid_23431,10338,0.6038223286190683,0,0,0.613800502172456,0,0,+,0.6038223286190683,Average Diameter for VLDL Particles
PLA2G7,fid_23547,10349,0.6032218322459674,0,0,0.6193128952579503,0,0,+,0.6032218322459674,Cholesterol in Small LDL
PLA2G7,fid_23530,10349,0.6002259242301863,0,0,0.6199325501843054,0,0,+,0.6002259242301863,Concentration of Large LDL Particles
PLA2G7,fid_23523,10349,0.5999469256510932,0,0,0.6206774616890487,0,0,+,0.5999469256510932,Concentration of IDL Particles
PLA2G7,fid_23402,10349,0.5992829473765474,0,0,0.6171868938043032,0,0,+,0.5992829473765474,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
PLA2G7,fid_23505,10349,0.5989120410136498,0,0,0.6187367924712297,0,0,+,0.5989120410136498,Cholesterol in Medium VLDL
LDLR,fid_23503,10338,0.5980995136269108,0,0,0.6061330280723746,0,0,+,0.5980995136269108,Total Lipids in Medium VLDL
PLA2G7,fid_23401,10349,0.5967626075213016,0,0,0.6131069279862766,0,0,+,0.5967626075213016,Total Cholesterol Minus HDL-C
PLA2G7,fid_23548,10349,0.5950782694319726,0,0,0.6118266788936363,0,0,+,0.5950782694319726,Cholesteryl Esters in Small LDL
PLA2G7,fid_23413,10349,0.5900510622134303,0,0,0.6055505657968303,0,0,+,0.5900510622134303,Phospholipids in LDL
LDLR,fid_23410,10338,0.5890501497452799,0,0,0.5846960069734599,0,0,+,0.5890501497452799,Triglycerides in HDL
LDLR,fid_23638,10338,0.5887708577030594,0,0,0.6377564499748872,0,0,+,0.5887708577030594,Triglycerides to Total Lipids in Large HDL percentage
PLA2G7,fid_23506,10349,0.5867287946938742,0,0,0.6048760394789896,0,0,+,0.5867287946938742,Cholesteryl Esters in Medium VLDL
PLA2G7,fid_23441,10349,0.5862415883891277,0,0,0.6096452938064062,0,0,+,0.5862415883891277,Apolipoprotein B to Apolipoprotein A1 ratio
PLA2G7,fid_23404,10349,0.5844980718010683,0,0,0.5992666091814134,0,0,+,0.5844980718010683,Clinical LDL Cholesterol
PLA2G7,fid_23514,10349,0.5822181686745502,0,0,0.6025576970028711,0,0,+,0.5822181686745502,Free Cholesterol in Small VLDL
PLA2G7,fid_23425,10349,0.5806747651319101,0,0,0.59529337527588,0,0,+,0.5806747651319101,Total Lipids in LDL
LDLR,fid_23571,10338,0.5805890586700841,0,0,0.5759620442589874,0,0,+,0.5805890586700841,Triglycerides in Medium HDL
PLA2G7,fid_23507,10349,0.580313028801111,0,0,0.6002024170846908,0,0,+,0.580313028801111,Free Cholesterol in Medium VLDL
PLA2G7,fid_23539,10349,0.5788350597110946,0,0,0.5950991907077999,0,0,+,0.5788350597110946,Phospholipids in Medium LDL
LDLR,fid_23403,10338,0.5784137011749514,0,0,0.5801818738473243,0,0,+,0.5784137011749514,VLDL Cholesterol
PLA2G7,fid_23537,10349,0.5783581607656293,0,0,0.5926959351014827,0,0,+,0.5783581607656293,Concentration of Medium LDL Particles
PLA2G7,fid_23416,10349,0.5782720070684907,0,0,0.5980679717032017,0,0,+,0.5782720070684907,Cholesteryl Esters in VLDL
SERPIND1,fid_23480,9892,0.5771602725995517,0,0,0.5999826183052123,0,0,+,0.5771602725995517,Glycoprotein Acetyls
LDLR,fid_23487,10338,0.5769491658436766,0,0,0.5963009074401581,0,0,+,0.5769491658436766,Triglycerides in Chylomicrons and Extremely Large VLDL
PLA2G7,fid_23538,10349,0.5751067738044258,0,0,0.5893042760376139,0,0,+,0.5751067738044258,Total Lipids in Medium LDL
PLA2G7,fid_23405,10349,0.5749231660202266,0,0,0.5885907064287005,0,0,+,0.5749231660202266,LDL Cholesterol
PLA2G7,fid_23532,10349,0.5746219835977062,0,0,0.5885151581063205,0,0,+,0.5746219835977062,Phospholipids in Large LDL
LDLR,fid_23626,10338,0.5745542293299377,0,0,0.5692557080694817,0,0,+,0.5745542293299377,Cholesteryl Esters to Total Lipids in Small LDL percentage
PLTP,fid_23562,10412,0.5744743173747271,0,0,0.6029035858710726,0,0,+,0.5744743173747271,Cholesteryl Esters in Large HDL
LDLR,fid_23458,10329,-0.5744536836533061,0,0,-0.5823933588809103,0,0,-,0.5744536836533061,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
PLTP,fid_23433,10412,0.5741106706437866,0,0,0.5877805308722793,0,0,+,0.5741106706437866,Average Diameter for HDL Particles
PLA2G7,fid_23540,10349,0.5739687847879281,0,0,0.5870308509223504,0,0,+,0.5739687847879281,Cholesterol in Medium LDL
PLA2G7,fid_23417,10349,0.5734854615975455,0,0,0.5872158031185036,0,0,+,0.5734854615975455,Cholesteryl Esters in LDL
LDLR,fid_23513,10338,0.5728956381073075,0,0,0.5746918308667167,0,0,+,0.5728956381073075,Cholesteryl Esters in Small VLDL
PLTP,fid_23558,10412,0.5721100961256267,0,0,0.601596854267117,0,0,+,0.5721100961256267,Concentration of Large HDL Particles
PLTP,fid_23561,10412,0.5715274564904054,0,0,0.6002502690184935,0,0,+,0.5715274564904054,Cholesterol in Large HDL
LDLR,fid_23442,10329,0.5705967539652,0,0,0.5731073470557164,0,0,+,0.5705967539652,Total Fatty Acids
LDLR,fid_23454,10329,0.5690460178724438,0,0,0.5782262663224961,0,0,+,0.5690460178724438,Monounsaturated Fatty Acids to Total Fatty Acids percentage
LDLR,fid_23511,10338,0.5674406442201436,0,0,0.5700108933854118,0,0,+,0.5674406442201436,Phospholipids in Small VLDL
PLA2G7,fid_23531,10349,0.5671498722222876,0,0,0.5808833360178365,0,0,+,0.5671498722222876,Total Lipids in Large LDL
CFI,fid_23480,9911,0.5667647095912638,0,0,0.5797916103414237,0,0,+,0.5667647095912638,Glycoprotein Acetyls
PLA2G7,fid_23512,10349,0.5662874491265237,0,0,0.586657416728542,0,0,+,0.5662874491265237,Cholesterol in Small VLDL
PLA2G7,fid_23541,10349,0.5657494679480053,0,0,0.5783575567816859,0,0,+,0.5657494679480053,Cholesteryl Esters in Medium LDL
LDLR,fid_23627,10338,-0.5656633381135743,0,0,-0.5622946992894106,0,0,-,0.5656633381135743,Free Cholesterol to Total Lipids in Small LDL percentage
PLTP,fid_23559,10412,0.5655681323929423,0,0,0.5931740900364507,0,0,+,0.5655681323929423,Total Lipids in Large HDL
PLA2G7,fid_23549,10349,0.5636915973615407,0,0,0.5785134884413571,0,0,+,0.5636915973615407,Free Cholesterol in Small LDL
PLA2G7,fid_23525,10349,0.5634997623787193,0,0,0.575927493170457,0,0,+,0.5634997623787193,Phospholipids in IDL
PLA2G7,fid_23504,10349,0.562729225387157,0,0,0.5803507524505563,0,0,+,0.562729225387157,Phospholipids in Medium VLDL
APCS,fid_23480,9838,0.561169792558906,0,0,0.5786977208371064,0,0,+,0.561169792558906,Glycoprotein Acetyls
LDLR,fid_23448,10329,0.5605343144683822,0,0,0.5605227386861074,0,0,+,0.5605343144683822,Saturated Fatty Acids
PLA2G7,fid_23533,10349,0.5593788150027338,0,0,0.5723115813677119,0,0,+,0.5593788150027338,Cholesterol in Large LDL
PLA2G7,fid_23542,10349,0.5591953908952408,0,0,0.5729122356297279,0,0,+,0.5591953908952408,Free Cholesterol in Medium LDL
PLA2G7,fid_23421,10349,0.5588704447114129,0,0,0.5715749485216306,0,0,+,0.5588704447114129,Free Cholesterol in LDL
LDLR,fid_23452,10329,-0.5586652003238919,0,0,-0.563379971360819,0,0,-,0.5586652003238919,Omega-6 Fatty Acids to Total Fatty Acids percentage
PLA2G7,fid_23534,10349,0.5577711480820309,0,0,0.5708527563106341,0,0,+,0.5577711480820309,Cholesteryl Esters in Large LDL
PLA2G7,fid_23524,10349,0.5567289412751094,0,0,0.5685143515999327,0,0,+,0.5567289412751094,Total Lipids in IDL
PLA2G7,fid_23403,10349,0.5556281511124999,0,0,0.5730873090372914,0,0,+,0.5556281511124999,VLDL Cholesterol
PLTP,fid_23563,10412,0.5551943193988439,0,0,0.5818828495809155,0,0,+,0.5551943193988439,Free Cholesterol in Large HDL
LDLR,fid_23502,10338,0.5550822702775838,0,0,0.5595033162010411,0,0,+,0.5550822702775838,Concentration of Medium VLDL Particles
PLTP,fid_23560,10412,0.5543951801793076,0,0,0.5781895183315496,0,0,+,0.5543951801793076,Phospholipids in Large HDL
PLA2G7,fid_23502,10349,0.5515543120896904,0,0,0.5690514798228014,0,0,+,0.5515543120896904,Concentration of Medium VLDL Particles
PLA2G7,fid_23513,10349,0.5510412806833003,0,0,0.5704984377666237,0,0,+,0.5510412806833003,Cholesteryl Esters in Small VLDL
PLA2G7,fid_23419,10349,0.5499588143587938,0,0,0.5587438757583811,0,0,+,0.5499588143587938,Total Free Cholesterol
PLA2G7,fid_23535,10349,0.5496990574207219,0,0,0.5612041063050899,0,0,+,0.5496990574207219,Free Cholesterol in Large LDL
LDLR,fid_23589,10337,0.5485938991346241,0,0,0.6322381328748706,0,0,+,0.5485938991346241,Phospholipids to Total Lipids in Large VLDL percentage
LDLR,fid_23633,10334,0.5469946185303612,0,0,0.6719647759031354,0,0,+,0.5469946185303612,Triglycerides to Total Lipids in Very Large HDL percentage
PLA2G7,fid_23511,10349,0.5460610103476516,0,0,0.5642183499611253,0,0,+,0.5460610103476516,Phospholipids in Small VLDL
LDLR,fid_23624,10338,-0.5460405874460719,0,0,-0.5425950532481362,0,0,-,0.5460405874460719,Phospholipids to Total Lipids in Small LDL percentage
PLA2G7,fid_23519,10349,0.5441322815840036,0,0,0.5594195276318468,0,0,+,0.5441322815840036,Cholesterol in Very Small VLDL
LDLR,fid_23504,10338,0.5437820861396263,0,0,0.5470677469988556,0,0,+,0.5437820861396263,Phospholipids in Medium VLDL
PLA2G7,fid_23528,10349,0.542683411671696,0,0,0.5525171869410489,0,0,+,0.542683411671696,Free Cholesterol in IDL
PLA2G7,fid_23526,10349,0.5417263073031869,0,0,0.5518645957089862,0,0,+,0.5417263073031869,Cholesterol in IDL
LDLR,fid_23512,10338,0.541011816466135,0,0,0.542114896784909,0,0,+,0.541011816466135,Cholesterol in Small VLDL
RARRES2,fid_23480,10345,0.5409894990490688,0,0,0.5661881392951261,0,0,+,0.5409894990490688,Glycoprotein Acetyls
PLA2G7,fid_23520,10349,0.5403709808968157,0,0,0.5541457799355267,0,0,+,0.5403709808968157,Cholesteryl Esters in Very Small VLDL
APOA1,fid_23440,9911,0.5399643374490137,0,0,0.6634451652365829,0,0,+,0.5399643374490137,Apolipoprotein A1
PLA2G7,fid_23527,10349,0.5372390538202523,0,0,0.5474023560933313,0,0,+,0.5372390538202523,Cholesteryl Esters in IDL
PLA2G7,fid_23516,10349,0.53563918868209,0,0,0.554455529300576,0,0,+,0.53563918868209,Concentration of Very Small VLDL Particles
LDLR,fid_23636,10338,-0.5347413171902168,0,0,-0.5678265115849862,0,0,-,0.5347413171902168,Cholesteryl Esters to Total Lipids in Large HDL percentage
PLTP,fid_23418,10412,0.5339343475342916,0,0,0.5473483969641562,0,0,+,0.5339343475342916,Cholesteryl Esters in HDL
PLTP,fid_23406,10412,0.5331523578079224,0,0,0.5478866777946074,0,0,+,0.5331523578079224,HDL Cholesterol
PLA2G7,fid_23521,10349,0.5328514991069793,0,0,0.5505429309691909,0,0,+,0.5328514991069793,Free Cholesterol in Very Small VLDL
LDLR,fid_23617,10338,-0.5304697282323493,0,0,-0.5255366799742299,0,0,-,0.5304697282323493,Free Cholesterol to Total Lipids in Large LDL percentage
APOA1,fid_23570,9911,0.530138150637718,0,0,0.6503172316969615,0,0,+,0.530138150637718,Free Cholesterol in Medium HDL
APOA1,fid_23426,9911,0.5294189389887248,0,0,0.6492326322413343,0,0,+,0.5294189389887248,Total Lipids in HDL
PLTP,fid_23642,10412,0.5293665519816444,0,0,0.532943942457652,0,0,+,0.5293665519816444,Free Cholesterol to Total Lipids in Medium HDL percentage
APOA1,fid_23565,9911,0.5291107362482197,0,0,0.6500927130086143,0,0,+,0.5291107362482197,Concentration of Medium HDL Particles
APOA1,fid_23568,9911,0.5283652120205361,0,0,0.6484028747662807,0,0,+,0.5283652120205361,Cholesterol in Medium HDL
LDLR,fid_23453,10329,-0.5273259413255605,0,0,-0.5319667679305233,0,0,-,0.5273259413255605,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
APOA1,fid_23430,9911,0.5262417563665402,0,0,0.6482953736571718,0,0,+,0.5262417563665402,Concentration of HDL Particles
APOA1,fid_23406,9911,0.5255224047082032,0,0,0.6456748791883387,0,0,+,0.5255224047082032,HDL Cholesterol
APOA1,fid_23569,9911,0.52454600210048,0,0,0.6432516155244188,0,0,+,0.52454600210048,Cholesteryl Esters in Medium HDL
LDLR,fid_23416,10338,0.5243552482561683,0,0,0.5234946876045128,0,0,+,0.5243552482561683,Cholesteryl Esters in VLDL
APOA1,fid_23418,9911,0.5241106327508986,0,0,0.6425712477583153,0,0,+,0.5241106327508986,Cholesteryl Esters in HDL
PLTP,fid_23555,10412,0.5173414134091405,0,0,0.5369533319366827,0,0,+,0.5173414134091405,Cholesteryl Esters in Very Large HDL
LDLR,fid_23635,10338,-0.5153373451219877,0,0,-0.5599996029500268,0,0,-,0.5153373451219877,Cholesterol to Total Lipids in Large HDL percentage
APOA1,fid_23414,9911,0.5150821043273419,0,0,0.6291144523240196,0,0,+,0.5150821043273419,Phospholipids in HDL
PLA2G7,fid_23400,10349,0.5133367530766839,0,0,0.5188431287449682,0,0,+,0.5133367530766839,Total Cholesterol
OLR1,fid_23471,10164,0.5122302818317638,0,0,0.5011962964575989,0,0,+,0.5122302818317638,Lactate
PLA2G7,fid_23428,10349,0.5122130557743361,0,0,0.5266809961329948,0,0,+,0.5122130557743361,Concentration of VLDL Particles
APOA1,fid_23427,9911,0.5114191562006428,0,0,0.6277098334720578,0,0,+,0.5114191562006428,Total Concentration of Lipoprotein Particles
APOA1,fid_23422,9911,0.5105807392405216,0,0,0.6259359645249886,0,0,+,0.5105807392405216,Free Cholesterol in HDL
PLTP,fid_23422,10412,0.5101806784782192,0,0,0.5250841134221075,0,0,+,0.5101806784782192,Free Cholesterol in HDL
APOA1,fid_23566,9911,0.5095635419072594,0,0,0.6255792927326513,0,0,+,0.5095635419072594,Total Lipids in Medium HDL
LDLR,fid_23621,10338,0.5092441400835745,0,0,0.5112442386897247,0,0,+,0.5092441400835745,Cholesteryl Esters to Total Lipids in Medium LDL percentage
PLA2G7,fid_23503,10349,0.5092144693751656,0,0,0.5235926269996054,0,0,+,0.5092144693751656,Total Lipids in Medium VLDL
PLA2G7,fid_23517,10349,0.5085085724500956,0,0,0.5253303855437803,0,0,+,0.5085085724500956,Total Lipids in Very Small VLDL
PLA2G7,fid_23420,10349,0.5079030741412102,0,0,0.5212807669410813,0,0,+,0.5079030741412102,Free Cholesterol in VLDL
MFGE8,fid_23550,10349,0.5073455880726374,0,0,0.4801753389128861,0,0,+,0.5073455880726374,Triglycerides in Small LDL
IGSF9,fid_23453,9910,-0.507293769459998,0,0,-0.49380084784669315,0,0,-,0.507293769459998,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
FGFBP1,fid_23506,10379,0.5070307630733474,0,0,0.5080669212168738,0,0,+,0.5070307630733474,Cholesteryl Esters in Medium VLDL
TNFSF14,fid_23471,10233,0.5059817314802484,0,0,0.4998602836752383,0,0,+,0.5059817314802484,Lactate
FGFBP1,fid_23528,10379,0.5044432053449355,0,0,0.4997595125063436,0,0,+,0.5044432053449355,Free Cholesterol in IDL
LDLR,fid_23518,10338,0.5041650873199618,0,0,0.4961749314148891,0,0,+,0.5041650873199618,Phospholipids in Very Small VLDL
MFGE8,fid_23578,10349,0.5039424463448721,0,0,0.4772459191026758,0,0,+,0.5039424463448721,Triglycerides in Small HDL
APOM,fid_23427,10312,0.5033920383997372,0,0,0.5154095488170032,0,0,+,0.5033920383997372,Total Concentration of Lipoprotein Particles
MFGE8,fid_23410,10349,0.5032539748573317,0,0,0.4800368447218687,0,0,+,0.5032539748573317,Triglycerides in HDL
LDLR,fid_23562,10338,-0.5016898813807451,0,0,-0.5200082009070639,0,0,-,0.5016898813807451,Cholesteryl Esters in Large HDL
PLTP,fid_23553,10412,0.5014247324220832,0,0,0.5186841843281398,0,0,+,0.5014247324220832,Phospholipids in Very Large HDL
MFGE8,fid_23628,10349,0.5003012702266433,0,0,0.4633534574904639,0,0,+,0.5003012702266433,Triglycerides to Total Lipids in Small LDL percentage
PLTP,fid_23552,10412,0.5000365929896616,0,0,0.517159018494734,0,0,+,0.5000365929896616,Total Lipids in Very Large HDL
ORM1,fid_23480,9847,0.4996198307910241,0,0,0.5042881409060094,0,0,+,0.4996198307910241,Glycoprotein Acetyls
PLTP,fid_23554,10412,0.4993700949973058,0,0,0.5152525519706892,0,0,+,0.4993700949973058,Cholesterol in Very Large HDL
APOM,fid_23438,10303,0.4988126298778357,0,0,0.5031852461688757,0,0,+,0.4988126298778357,Sphingomyelins
FGFBP1,fid_23526,10379,0.4985967338461645,0,0,0.49387425063550044,0,0,+,0.4985967338461645,Cholesterol in IDL
IGSF9,fid_23458,9910,-0.49753729781749706,0,0,-0.493676627992625,0,0,-,0.49753729781749706,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
FGFBP1,fid_23525,10379,0.49728112564021043,0,0,0.4956612488004099,0,0,+,0.49728112564021043,Phospholipids in IDL
PRAP1,fid_23454,9912,0.4970353701005225,0,0,0.49784485826564795,0,0,+,0.4970353701005225,Monounsaturated Fatty Acids to Total Fatty Acids percentage
PLTP,fid_23632,10408,-0.49702317902816795,0,0,-0.5718754579868989,0,0,-,0.49702317902816795,Free Cholesterol to Total Lipids in Very Large HDL percentage
LDLR,fid_23639,10338,0.49676854519646746,0,0,0.4992845626985963,0,0,+,0.49676854519646746,Phospholipids to Total Lipids in Medium HDL percentage
PRAP1,fid_23458,9912,-0.4955767840145363,0,0,-0.5003570110339511,0,0,-,0.4955767840145363,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
MFGE8,fid_23407,10349,0.49542819506615027,0,0,0.4674930413384562,0,0,+,0.49542819506615027,Total Triglycerides
PLA2G7,fid_23518,10349,0.4951577743751175,0,0,0.5121733562481287,0,0,+,0.4951577743751175,Phospholipids in Very Small VLDL
PLA2G7,fid_23415,10349,0.4946157662474699,0,0,0.49886952400421464,0,0,+,0.4946157662474699,Total Esterified Cholesterol
FGFBP1,fid_23535,10379,0.4944404255375726,0,0,0.4906100161627284,0,0,+,0.4944404255375726,Free Cholesterol in Large LDL
FGFBP1,fid_23524,10379,0.4940092391773238,0,0,0.4918337792823674,0,0,+,0.4940092391773238,Total Lipids in IDL
MXRA8,fid_23562,9676,0.4933912533993147,0,0,0.507753772454502,0,0,+,0.4933912533993147,Cholesteryl Esters in Large HDL
MFGE8,fid_23571,10349,0.4933821211591968,0,0,0.47086670370067396,0,0,+,0.4933821211591968,Triglycerides in Medium HDL
APOM,fid_23415,10312,0.49292274183195955,0,0,0.4946159006928116,0,0,+,0.49292274183195955,Total Esterified Cholesterol
FGFBP1,fid_23527,10379,0.4927022966059862,0,0,0.48824829722594715,0,0,+,0.4927022966059862,Cholesteryl Esters in IDL
PLTP,fid_23551,10412,0.4923338426499944,0,0,0.5079804136446643,0,0,+,0.4923338426499944,Concentration of Very Large HDL Particles
MFGE8,fid_23447,10341,0.49198313513527847,0,0,0.46216830053248587,0,0,+,0.49198313513527847,Monounsaturated Fatty Acids
CFB,fid_23480,9743,0.49099351131912117,0,0,0.49613763643103,0,0,+,0.49099351131912117,Glycoprotein Acetyls
PLTP,fid_23426,10412,0.49046873285336207,0,0,0.5014764912545759,0,0,+,0.49046873285336207,Total Lipids in HDL
LDLR,fid_23561,10338,-0.49017608222804093,0,0,-0.5061162752899196,0,0,-,0.49017608222804093,Cholesterol in Large HDL
MFGE8,fid_23515,10349,0.4901501076245835,0,0,0.469313059774614,0,0,+,0.4901501076245835,Triglycerides in Small VLDL
MXRA8,fid_23561,9676,0.48933980991553566,0,0,0.5038152511323886,0,0,+,0.48933980991553566,Cholesterol in Large HDL
IGSF9,fid_23452,9910,-0.4890790137539666,0,0,-0.4740764115617544,0,0,-,0.4890790137539666,Omega-6 Fatty Acids to Total Fatty Acids percentage
MFGE8,fid_23627,10349,-0.48859721479188384,0,0,-0.45835627162017534,0,0,-,0.48859721479188384,Free Cholesterol to Total Lipids in Small LDL percentage
MFGE8,fid_23522,10349,0.487564338120708,0,0,0.4690070335840532,0,0,+,0.487564338120708,Triglycerides in Very Small VLDL
MXRA8,fid_23558,9676,0.4871535572384308,0,0,0.5024286232763491,0,0,+,0.4871535572384308,Concentration of Large HDL Particles
MFGE8,fid_23622,10349,-0.4867571438007007,0,0,-0.45523401030720223,0,0,-,0.4867571438007007,Free Cholesterol to Total Lipids in Medium LDL percentage
LDLR,fid_23507,10338,0.4865884383066123,0,0,0.4874591252409676,0,0,+,0.4865884383066123,Free Cholesterol in Medium VLDL
FGFBP1,fid_23421,10379,0.4865561241208897,0,0,0.4832296763199375,0,0,+,0.4865561241208897,Free Cholesterol in LDL
